0.896183,-0.121532,-0.165564,
0.893681,-0.119367,-0.16571,
0.882823,-0.0875118,-0.16547,
0.88885,-0.0602807,-0.163784,
0.91193,-0.0450796,-0.160253,
0.956338,-0.0568453,-0.154384,
0.966383,-0.0790131,-0.15394,
0.967086,-0.0828738,-0.154029,
0.968012,-0.0946974,-0.154287,
0.966538,-0.102966,-0.154949,
0.958835,-0.123649,-0.156923,
0.950358,-0.129987,-0.15794,
0.929882,-0.140772,-0.161031,
0.920104,-0.137521,-0.162416,
0.910712,-0.132591,-0.16381,
0.904043,-0.127074,-0.164257,
0.894015,-0.12015,-0.165488,
0.883284,-0.0981856,-0.165964,
